Location,Club Public Hours,Winter Play,Map It,Phone,Type,Lights,Courts
Agincourt Tennis Club,Sundays 2 p.m. - 4 p.m.Tuesdays 4 p.m. - 6 p.m.Thursdays 4 p.m. - 6 p.m.Holidays 2 p.m. - 4 p.m.,,"('27  Glen Watford Dr ', '43.7882598434', '-79.2749181798')",311,Club,Yes,4
Bridlebrook Tennis Club,,,"('111  Alamosa Dr ', '43.7810883366', '-79.3695581505')",416-496-0225,Club,No,3
Albion Gardens Park,,,"('41  Deanlea Crt ', '43.7396441768', '-79.5589172181')",311,Public,Yes,3
Amesbury Park,,Yes,"('151 Culford Rd ', '43.7061864958', '-79.4834224962')",311,Public,No,2
Ancaster Park,,,"('43  Ancaster Rd ', '43.7334252351', '-79.4655052281')",311,Public,No,3
Angela James Arena - Tennis Court Area,,Yes,"('165  Grenoble Dr ', '43.713206128', '-79.327598527')",311,Public,Yes,4
Antibes Community Centre,,Yes,"('140 Antibes Dr ', '43.7811383787', '-79.4469957603')",311,Public,No,1
Balmoral Park Book Online,,,"('170  Faywood Blvd ', '43.7448633255', '-79.4498858035')",311,Public,Yes,3
Banbury Tennis Club,Sundays 2 p.m. - 5 p.m.Saturdays 2 p.m. - 5 p.m.,,"('120  Banbury Rd ', '43.7427740036', '-79.3698734894')",416-443- 0941,Club,Yes,4
Baycrest Park,,Yes,"('160  Neptune Dr ', '43.7271773569', '-79.4453131544')",311,Public,Yes,2
Bayview Village Park,,,"('2945  Bayview Ave ', '43.7730254747', '-79.3872627373')",311,Public,No,3
Kew Gardens Tennis Club,Sundays 4 p.m. - 10 p.m.,,"('2075  Queen St E', '43.6661298729', '-79.2985090973')",416-699-1635,Club,Yes,10
Beaumonde Heights Park,,,"('17 A Waltham Dr ', '43.740813307', '-79.5744937229')",311,Public,No,3
Bellbury Tennis Club,Sundays 12 p.m. - 3 p.m.Saturdays 12 p.m. - 3 p.m.,,"('55  Van Horne Ave. ', '43.7836678733', '-79.3613025515')",416-806-0654,Club,Yes,5
Bennington Heights Tennis Club,Saturdays 8 p.m. - 11 p.m.Sundays 8 p.m. - 11 p.m.,,"('465  Heath St E', '43.6950046581', '-79.3695658694')",311,Club,Yes,2
Bestview Park Book Online,,Yes,"('115  Bestview Dr ', '43.8025870812', '-79.383611575')",311,Public,Yes,3
Birch Park,,Yes,"('75  Arcadian Cir ', '43.5916807547', '-79.527418583')",311,Public,Yes,2
Birchmount Park Book Online,,Yes,"('95  Birchmount Rd ', '43.6959975445', '-79.2606666474')",311,Public,Yes,2
Bloordale Park South,,,"('230 Renforth Dr ', '43.6367217868', '-79.5702503041')",311,Public,No,2
"Nyta Winter Tennis Club,The Don Mills Tennis Club",Saturdays 9 p.m. - 11 p.m.Sundays 8 a.m. - 10 a.m. and 9 p.m. - 11 p.m.,,"('120  Bond Ave ', '43.7464153718', '-79.3512499027')",416 444-7311,Club,Yes,6
Botany Hill Park,,,"('277  Orton Park Rd ', '43.7781008052', '-79.2115040427')",311,Club,Yes,4
Bridlewood Tennis Club,Saturdays 4 p.m. - 7 p.m.Sundays 4 p.m. - 7 p.m.Holidays 12 p.m. - 2 p.m.,,"('445  Huntingwood Dr ', '43.7829182599', '-79.3162401527')",311,Club,Yes,3
O'Connor Hills Tennis Club,Saturdays 3 p.m. - 6 p.m.Sundays 3 p.m. - 6 p.m.Holidays 4 p.m. - 6 p.m.,,"('19  Castlegrove Blvd ', '43.7459134839', '-79.321292499')",416-707-5930,Club,Yes,4
